2025-11-19 09:50:50 | Battle (1P) | Bots (IA)
2025-11-19 09:51:40 | Story Nivel 1 (1P) | Player 1 (Branco)
2025-11-19 09:52:56 | Story Nivel 2 (1P) | Bots (IA)
2025-11-19 10:41:13 | Battle (1P) | Bots (IA)
2025-11-19 10:41:40 | Battle (1P) | Player 1 (Branco)
2025-11-19 10:44:40 | Battle (2P) | Player 2 (Preto) - PvP Vitoria
2025-11-19 19:27:54 | Battle (1P) | Player 1 (Branco)
2025-11-20 18:50:48 | Battle (1P) | Bots (IA)
2025-11-20 18:50:59 | Battle (1P) | Player 1 (Branco)
2025-11-20 18:52:37 | Battle (2P) | Player 2 (Preto) - PvP Vitoria
2025-11-20 18:57:21 | Battle (2P) | Player 2 (Preto) - PvP Vitoria
2025-11-20 19:03:50 | Battle (2P) | Player 2 (Preto) - PvP Vitoria
